node,comm
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,4
175,4
176,4
177,4
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,6
230,6
231,6
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,6
243,6
244,6
245,6
246,6
247,6
248,6
249,6
250,6
251,6
252,6
253,6
254,6
255,6
256,6
257,6
258,6
259,6
260,6
261,6
262,6
263,6
264,6
265,6
266,6
267,6
268,6
269,6
270,6
271,6
272,6
273,6
274,6
275,6
276,6
277,6
278,6
279,6
280,6
281,6
282,6
283,6
284,6
285,6
286,6
287,6
288,6
289,6
290,6
291,6
292,6
293,6
294,6
295,6
296,6
297,6
298,6
299,6
300,6
301,6
302,6
303,6
304,6
305,6
306,6
307,6
308,6
309,6
310,6
311,6
312,6
313,6
314,6
315,6
316,6
317,6
318,6
319,6
320,6
321,6
322,6
323,6
324,6
325,6
326,6
327,6
328,6
329,6
330,6
331,6
332,6
333,6
334,6
335,6
336,6
337,6
338,6
339,6
340,6
341,6
342,6
343,6
344,6
345,6
346,6
347,6
348,6
349,6
350,6
351,6
352,6
353,6
354,6
355,6
356,6
357,6
358,6
359,6
360,6
361,6
362,6
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,7
376,7
377,7
378,7
379,7
380,7
381,7
382,7
383,7
384,7
385,7
386,7
387,7
388,7
389,7
390,7
391,7
392,7
393,7
394,7
395,7
396,7
397,7
398,7
399,7
400,8
401,8
402,8
403,8
404,8
405,8
406,9
407,9
408,9
409,9
410,9
411,9
412,9
413,9
414,9
415,9
416,9
417,9
418,9
419,9
420,9
421,9
422,9
423,9
424,9
425,9
426,9
427,9
428,9
429,9
430,9
431,9
432,9
433,9
434,9
435,9
436,9
437,9
438,9
439,9
440,9
441,9
442,9
443,9
444,9
445,9
446,9
447,9
448,9
449,9
450,9
451,9
452,9
453,9
454,9
455,9
456,9
457,9
458,9
459,9
460,9
461,9
462,9
463,9
464,9
465,9
466,9
467,9
468,10
469,10
470,10
471,10
472,10
473,10
474,10
475,10
476,10
477,10
478,10
479,10
480,10
481,10
482,10
483,10
484,10
485,10
486,10
487,10
488,10
489,10
490,10
491,10
492,10
493,10
494,10
495,10
496,10
497,10
498,10
499,10
500,10
501,10
502,10
503,10
504,10
505,10
506,10
507,10
508,10
509,10
510,10
511,10
512,10
513,10
514,10
515,10
516,10
517,10
518,10
519,10
520,10
521,10
522,10
523,10
524,10
525,10
526,10
527,10
528,10
529,10
530,10
531,10
532,10
533,10
534,10
535,10
536,10
537,10
538,10
539,10
540,10
541,10
542,10
543,10
544,11
545,11
546,11
547,11
548,11
549,11
550,11
551,11
552,11
553,11
554,11
555,11
556,11
557,11
558,11
559,11
560,11
561,11
562,11
563,11
564,11
565,11
566,11
567,11
568,11
569,11
570,11
571,11
572,11
573,11
574,11
575,11
576,11
577,11
578,11
579,11
580,11
581,11
582,11
583,11
584,11
585,11
586,11
587,11
588,11
589,11
590,11
591,11
592,11
593,11
594,11
595,11
596,11
597,11
598,12
599,12
600,12
601,12
602,12
603,12
604,12
605,12
606,12
607,12
608,12
609,12
610,12
611,12
612,12
613,12
614,12
615,12
616,12
617,12
618,12
619,12
620,12
621,12
622,12
623,12
624,12
625,12
626,12
627,12
628,12
629,12
630,12
631,12
632,12
633,12
634,12
635,12
636,12
637,12
638,12
639,12
640,12
641,12
642,12
643,12
644,12
645,12
646,12
647,12
648,12
649,12
650,12
651,12
652,12
653,12
654,12
655,12
656,12
657,12
658,12
659,12
660,12
661,12
662,12
663,12
664,12
665,12
666,12
667,12
668,12
669,12
670,12
671,12
672,12
673,12
674,12
675,12
676,12
677,12
678,12
679,12
680,12
681,12
682,12
683,12
684,12
685,12
686,12
687,12
688,12
689,12
690,12
691,12
692,12
693,12
694,12
695,12
696,12
697,12
698,12
699,12
700,12
701,12
702,12
703,12
704,12
705,12
706,12
707,12
708,12
709,12
710,12
711,12
712,12
713,12
714,12
715,12
716,12
717,12
718,12
719,12
720,12
721,12
722,12
723,12
724,12
725,12
726,12
727,12
728,12
729,12
730,12
731,12
732,12
733,12
734,12
735,12
736,12
737,12
738,12
739,12
740,12
741,12
742,12
743,12
744,13
745,13
746,13
747,13
748,13
749,13
750,13
751,13
752,13
753,13
754,13
755,13
756,13
757,13
758,13
759,13
760,13
761,13
762,13
763,13
764,13
765,13
766,13
767,13
768,13
769,13
770,13
771,13
772,13
773,13
774,13
775,13
776,13
777,13
778,13
779,13
780,13
781,13
782,13
783,13
784,13
785,13
786,13
787,13
788,13
789,13
790,13
791,13
792,13
793,13
794,13
795,13
796,13
797,13
798,13
799,13
800,13
801,13
802,13
803,13
804,13
805,13
806,13
807,13
808,14
809,14
810,14
811,14
812,14
